"cbsa","cbsatitle","metrosize","list_jan20","list_feb20","list_mar20","list_apr20","list_may20","list_jun20","list_jul20","list_aug20","list_sep20","list_oct20","list_nov20","list_dec20","list_jan21","list_feb21","list_mar21","list_apr21","chg_imp","chg_traj","rank_imp","rank_traj","szrank_imp","szrank_traj"
"35620","New York-Newark-Jersey City, NY-NJ-PA","Very Large",60250,62008,64212,68009,65553,68287,71482,73775,74208,75736,71601,64303,56733,53700,53371,55719,-27.1046744377723,4.39939292874407,9,71,1,22
"35840","North Port-Sarasota-Bradenton, FL","Large",7040,7248,7354,7079,6494,5730,5196,4797,4456,4311,4029,3674,3173,2211,1642,1484,-82.9503676470588,-9.62241169305725,191,178,56,54
"35980","Norwich-New London, CT","Midsized",1202,1187,1267,1205,1179,1220,1137,1055,1050,1021,926,782,649,588,576,645,-60.4779411764706,11.9791666666667,58,20,24,9
"36100","Ocala, FL","Midsized",2249,3261,3214,3184,3075,2860,2709,2533,2493,2459,2496,2496,2342,2152,1946,1906,-26.5793528505393,-2.05549845837616,8,126,7,48
"36260","Ogden-Clearfield, UT","Large",1008,860,908,1171,992,846,731,607,520,473,416,333,262,237,253,271,-78.3891547049442,7.11462450592885,183,38,52,11
"36420","Oklahoma City, OK","Very Large",4244,4077,4034,4228,4039,3625,3478,3286,3036,2936,2844,2583,2139,1765,1538,1389,-71.0745522698875,-9.68790637191157,145,179,40,52
"36500","Olympia-Lacey-Tumwater, WA","Midsized",308,336,389,408,422,397,401,394,368,363,190,171,147,133,150,173,-59.9537037037037,15.3333333333333,55,10,23,6
"36540","Omaha-Council Bluffs, NE-IA","Large",1984,1859,1910,2011,1914,1725,1640,1509,1501,1464,1369,1259,1040,829,856,897,-54.7426841574168,4.78971962616822,34,67,5,23
"36740","Orlando-Kissimmee-Sanford, FL","Very Large",8539,8197,8281,8999,8972,8450,8126,7923,7690,7545,7346,6802,5905,4717,3831,3450,-64.8210461914959,-9.94518402505873,83,181,29,53
"37100","Oxnard-Thousand Oaks-Ventura, CA","Large",1313,1306,1324,1427,1511,1357,1220,1085,998,1037,874,712,615,748,716,725,-60.7683982683983,1.25698324022346,59,90,11,29
"37340","Palm Bay-Melbourne-Titusville, FL","Large",2987,2925,2968,3182,3014,2516,2231,2087,1853,1798,1828,1750,1533,1271,980,900,-74.9861033907727,-8.16326530612245,172,173,47,53
"37860","Pensacola-Ferry Pass-Brent, FL","Large",2296,2240,2168,2241,2100,1691,1593,1487,1363,1256,1199,1170,1064,821,735,788,-70.1062215477997,7.2108843537415,132,37,33,10
"37900","Peoria, IL","Midsized",1842,1749,1757,1727,1674,1569,1483,1419,1327,1284,1216,1116,1022,878,782,690,-64.3962848297214,-11.7647058823529,82,184,34,77
"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Very Large",13656,13172,13237,11981,12458,12451,11423,10829,10795,10803,10398,9087,7912,7107,7173,7572,-61.234833358931,5.56252613969051,62,56,25,17
"38060","Phoenix-Mesa-Chandler, AZ","Very Large",11082,10174,9952,12550,11739,8657,7227,7006,7185,7480,7179,5985,5032,3792,3742,4022,-75.8815063564404,7.48262960983431,177,34,51,10
"38300","Pittsburgh, PA","Very Large",6007,5770,5507,5398,5510,5273,4968,4811,4796,4633,4291,3857,3336,2753,2593,2705,-58.1851909104962,4.31932124951793,48,72,20,23
"38860","Portland-South Portland, ME","Large",1574,1468,1503,1569,1564,1664,1609,1449,1399,1371,1221,1012,769,629,611,652,-67.929168716183,6.71031096563011,113,42,24,14
"38900","Portland-Vancouver-Hillsboro, OR-WA","Very Large",4861,4390,4789,5707,5743,5348,5101,5025,4760,4489,3839,2957,2478,2227,2362,2589,-62.39651416122,9.61049957662997,69,27,27,9
"38940","Port St. Lucie, FL","Midsized",4012,4111,4115,4073,3777,3267,2864,2623,2330,2225,2197,2140,1928,1553,1326,1197,-72.7583067819754,-9.72850678733032,156,180,71,74
"39300","Providence-Warwick, RI-MA","Very Large",3574,3250,3224,3191,3117,2918,2657,2456,2403,2407,2269,1923,1646,1369,1345,1344,-70.2457383218951,-0.0743494423791822,136,105,39,36
"39340","Provo-Orem, UT","Large",1519,1330,1375,1722,1619,1341,1116,951,809,673,559,487,387,298,317,406,-79.5774647887324,28.0757097791798,186,3,53,1
"39580","Raleigh-Cary, NC","Very Large",4341,4151,4111,4368,4206,3594,3343,3224,2935,2891,2599,2234,1849,1483,1221,1197,-75.1711263223398,-1.96560196560197,174,123,49,41
"39740","Reading, PA","Midsized",782,721,671,594,609,574,481,481,465,454,449,415,351,281,251,267,-73.4328358208955,6.37450199203187,164,44,75,16
"39900","Reno, NV","Midsized",1058,895,930,1169,1184,1052,908,809,719,641,523,418,369,318,354,583,-53.7301587301587,64.6892655367232,28,1,12,1
"40060","Richmond, VA","Very Large",3283,3124,3233,3462,3338,2957,2685,2434,2394,2330,2215,2007,1737,1535,1501,1541,-59.9428125812321,2.66489007328448,54,81,24,25
"40140","Riverside-San Bernardino-Ontario, CA","Very Large",12225,11704,11297,11742,11420,9525,7791,6979,6925,7051,6708,5792,4820,4107,3989,4258,-72.1335078534031,6.74354474805716,153,41,43,13
"40220","Roanoke, VA","Midsized",979,894,902,945,819,781,705,661,684,661,622,560,485,366,339,359,-69.8572628043661,5.89970501474926,130,48,61,18
"40380","Rochester, NY","Very Large",1570,1433,1472,1398,1389,1489,1451,1395,1399,1328,1192,954,831,753,771,816,-56.8482284505553,5.83657587548638,39,49,17,14
"40420","Rockford, IL","Midsized",1321,1192,1095,1061,947,874,799,728,701,747,750,646,514,363,289,283,-72.3091976516634,-2.07612456747405,154,128,70,50
"40900","Sacramento--Roseville-Folsom, CA","Very Large",3245,3241,3554,4014,4224,4007,3354,2929,2930,2925,2571,1996,1557,1503,1599,1832,-59.6653456627037,14.5716072545341,53,11,23,2
"41180","St. Louis, MO-I","Very Large",7022,6438,6491,6556,6361,6098,5878,5732,5652,5742,5410,4856,4119,3664,3639,3678,-53.8693089175969,1.0717230008244,30,92,14,31
"41420","Salem, OR","Midsized",1190,1097,1061,1175,1082,908,845,765,632,637,529,437,382,323,338,379,-73.9876458476321,12.1301775147929,167,18,77,8
"41500","Salinas, CA","Midsized",518,548,576,589,628,571,490,433,401,396,381,336,300,293,261,276,-61.2359550561798,5.74712643678161,63,52,27,20
"41540","Salisbury, MD-DE","Midsized",3319,3373,3402,3441,3318,2898,2517,2249,2032,1888,1753,1631,1456,1259,1201,1159,-72.1058965102286,-3.49708576186511,151,139,68,56
"41620","Salt Lake City, UT","Very Large",1501,1268,1427,2022,1972,1721,1534,1496,1395,1294,1055,811,583,493,595,629,-71.6794236830257,5.71428571428571,148,53,42,15
