"cbsa_code","cbsatitle","metrosize","posts_jan20","posts_feb20","posts_mar20","posts_apr20","posts_may20","posts_jun20","posts_jul20","posts_aug20","posts_sep20","posts_oct20","posts_nov20","posts_dec20","posts_jan21","posts_feb21","posts_mar21","posts_apr21","chg_imp","chg_traj","rank_imp","rank_traj","szrank_imp","szrank_traj"
"19100","Dallas-Fort Worth-Arlington, TX","Very Large",309412,272916,253117,241998,247593,252134,270129,298495,259434,276476,262958,292741,291603,296032,359321,374940,37.3829310117399,4.34680967714105,49,45,9,10
"19340","Davenport-Moline-Rock Island, IA-IL","Midsized",17604,15335,15889,13966,14565,14615,15325,16131,15220,17080,18453,19245,16675,17411,18377,17788,15.9960873818063,-3.20509332317571,125,152,54,61
"19430","Dayton-Kettering, OH","Large",34136,29424,31301,25805,27725,26808,28126,29697,30176,32357,32180,36095,33923,34752,40181,40497,37.6325448613377,0.786441352878226,47,108,19,35
"19660","Deltona-Daytona Beach-Ormond Beach, FL","Large",15224,13761,14323,12771,13723,12270,13895,14980,15091,15306,14910,16516,14397,14809,17379,17693,28.5735048324976,1.80677829564417,84,86,30,28
"19740","Denver-Aurora-Lakewood, CO","Very Large",180075,148776,145047,139505,144880,147802,155436,147816,132418,142440,142949,145956,136631,138978,157024,165988,11.5690702801527,5.70868147544324,142,33,38,5
"19780","Des Moines-West Des Moines, IA","Large",40065,34770,34855,30127,30629,29682,30016,31231,30338,34684,36333,39615,39228,39829,46476,43614,25.4357204486626,-6.15801704105345,97,173,32,53
"19820","Detroit-Warren-Dearborn, MI","Very Large",158741,139854,135880,120077,122869,123448,130059,132080,130774,139850,133725,141923,132863,139688,162800,158845,13.5791611251734,-2.42936117936118,133,146,35,47
"20260","Duluth, MN-WI","Midsized",12531,11663,11909,9857,10110,8893,9634,10311,10014,11023,10977,12137,11005,11240,11408,11517,-1.25182200120038,0.9554698457223,181,103,75,42
"20500","Durham-Chapel Hill, NC","Large",32611,27494,26119,27336,28963,29112,31208,28671,28648,30566,28884,30816,30756,32511,35426,33157,20.5972212119008,-6.40490035567098,110,176,37,54
"21340","El Paso, TX","Large",21700,19046,16236,16046,14611,13495,13683,15485,14577,16695,16616,18310,18328,18447,19834,22096,16.0138611782001,11.4046586669356,124,11,40,5
"21500","Erie, PA","Midsized",8151,7446,7898,6904,7255,6516,6900,8144,8123,8710,8212,8427,7612,8192,2574,9572,28.5522428149342,271.872571872572,85,1,34,1
"21660","Eugene-Springfield, OR","Midsized",12128,10826,11551,9645,9686,8676,9455,10132,10791,12484,11836,12541,12717,12607,15685,15223,40.6151856641419,-2.94548932100733,44,149,19,59
"21780","Evansville, IN-KY","Midsized",11597,10051,10372,8805,9367,8672,9079,10013,9909,10583,10310,11272,11016,10950,11765,11069,10.1283454382648,-5.91585210369741,154,172,65,70
"22180","Fayetteville, NC","Large",13860,12557,12811,11636,12434,12121,13392,14251,13670,13819,13635,15031,13573,13797,14935,15498,23.4211993310504,3.76966856377636,104,56,33,19
"22220","Fayetteville-Springdale-Rogers, AR","Large",21791,18671,19569,16369,16415,16099,17460,19364,21272,22416,24788,27252,23890,23866,26381,25353,35.7881206148573,-3.89674386869338,53,158,20,47
"22420","Flint, MI","Midsized",9798,9053,9023,7664,8299,7525,8321,8792,8374,8982,8860,9754,8192,8389,9475,8785,-2.96034463713686,-7.28232189973615,185,178,79,74
"22660","Fort Collins, CO","Midsized",13836,12045,12219,10365,11186,10363,10968,11310,11514,12711,13096,13067,11540,11616,13444,14001,16.239103362391,4.14311216899732,123,50,53,26
"22900","Fort Smith, AR-OK","Midsized",8650,7718,7853,6610,6724,6410,7079,7706,8334,9347,11015,11830,10088,9847,10455,9035,17.0640062192278,-13.5820181731229,120,191,51,82
"23060","Fort Wayne, IN","Midsized",18395,15752,13946,11077,11644,11482,12285,13472,13314,14369,15320,15727,14348,14660,15331,15499,-1.60614525139665,1.09581892896745,182,99,76,40
"23420","Fresno, CA","Large",24491,21571,18236,20492,20811,19911,20436,16517,16607,16832,17133,18228,17218,17369,6148,20647,-4.2835288118307,235.832791151594,186,2,55,1
