cbsa,cbsatitle,metrosize,Q12019,Q22019,Q32019,Q42019,Q12020,Q22020,chg_imp,chg_traj,rank_imp,rank_traj,szrank_imp,szrank_traj
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Very Large,0.029,0.03,0.03,0.029,0.029,0.033,0.3,0.4,87,154,28,46
33660,"Mobile, AL",Midsized,0.056,0.052,0.055,0.051,0.051,0.051,-0.1,0,32,65,14,26
33700,"Modesto, CA ",Large,0.038,0.037,0.041,0.04,0.054,0.051,1.4,-0.3,180,7,55,3
33860,"Montgomery, AL",Midsized,0.065,0.066,0.068,0.067,0.074,0.073,0.7,-0.1,142,34,52,16
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Midsized,0.039,0.039,0.04,0.039,0.038,0.039,0,0.1,48,99,22,39
34940,"Naples-Marco Island, FL",Midsized,0.045,0.049,0.052,0.05,0.049,0.053,0.4,0.4,100,152,36,61
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Very Large,0.027,0.028,0.027,0.031,0.032,0.033,0.5,0.1,118,99,42,23
35300,"New Haven-Milford, CT",Large,0.045,0.041,0.044,0.047,0.047,0.045,0.4,-0.2,100,18,28,10
35380,"New Orleans-Metairie, LA",Very Large,0.035,0.037,0.038,0.038,0.038,0.037,0,-0.1,48,34,9,5
35620,"New York-Newark-Jersey City, NY-NJ-PA",Very Large,0.037,0.037,0.037,0.038,0.039,0.04,0.3,0.1,87,99,28,23
35840,"North Port-Sarasota-Bradenton, FL",Large,0.04,0.04,0.043,0.044,0.051,0.051,1.1,0,169,65,50,28
35980,"Norwich-New London, CT",Midsized,0.028,0.03,0.031,0.036,0.033,0.035,0.5,0.2,125,124,44,50
36100,"Ocala, FL",Midsized,0.045,0.05,0.049,0.05,0.049,0.05,0,0.1,48,99,22,39
36260,"Ogden-Clearfield, UT",Large,0.05,0.046,0.051,0.042,0.048,0.06,1.4,1.2,180,190,55,56
36420,"Oklahoma City, OK",Very Large,0.061,0.057,0.058,0.058,0.058,0.061,0.4,0.3,100,133,36,37
36500,"Olympia-Lacey-Tumwater, WA",Midsized,0.031,0.028,0.036,0.024,0.026,0.032,0.4,0.6,107,178,40,74
36540,"Omaha-Council Bluffs, NE-IA",Large,0.049,0.053,0.054,0.052,0.054,0.054,0.1,0,64,65,21,28
36740,"Orlando-Kissimmee-Sanford, FL",Very Large,0.042,0.042,0.041,0.042,0.044,0.044,0.2,0,66,65,17,11
37100,"Oxnard-Thousand Oaks-Ventura, CA",Large,0.04,0.043,0.042,0.046,0.044,0.046,0.3,0.2,87,124,25,42
37340,"Palm Bay-Melbourne-Titusville, FL",Large,0.055,0.056,0.054,0.054,0.055,0.056,0,0.1,48,99,17,37
37860,"Pensacola-Ferry Pass-Brent, FL",Midsized,0.034,0.035,0.037,0.033,0.032,0.031,-0.4,-0.1,9,34,4,16
37900,"Peoria, IL",Midsized,0.044,0.041,0.046,0.05,0.046,0.046,0.5,0,116,65,42,26
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Very Large,0.043,0.042,0.044,0.045,0.045,0.046,0.4,0.1,100,99,36,23
38060,"Phoenix-Mesa-Chandler, AZ",Very Large,0.069,0.069,0.069,0.068,0.069,0.072,0.3,0.3,76,125,22,33
38300,"Pittsburgh, PA",Very Large,0.033,0.035,0.036,0.037,0.037,0.039,0.4,0.2,100,124,36,32
38860,"Portland-South Portland, ME ",Large,0.021,0.021,0.022,0.025,0.025,0.025,0.4,0,107,65,31,28
38900,"Portland-Vancouver-Hillsboro, OR-WA",Very Large,0.028,0.029,0.03,0.031,0.032,0.035,0.6,0.3,139,147,47,44
38940,"Port St. Lucie, FL",Midsized,0.06,0.06,0.058,0.059,0.063,0.062,0.2,-0.1,75,34,31,16
