cbsa_code,cbsatitle,metrosize,work_feb20,work_mar20,work_apr20,work_may20,work_jun20,work_jul20,work_aug20,work_sep20,work_oct20,work_nov20,work_dec20,work_jan21,work_feb21,work_mar21,work_apr21,chg_imp,chg_traj,rank_imp,szrank_imp,rank_traj,szrank_traj
21500,"Erie, PA",Midsized,.3333333432674408,-18.6129035949707,-43.06666564941406,-33.48387145996094,-26.4333324432373,-28.51612854003906,-24.96774101257324,-27.16666603088379,-22.90322494506836,-27.86666679382324,-34.96774291992188,-28.58064460754395,-25.89285659790039,-25.03225898742676,-26.0666675567627,-26.066668,-1.03,120,65,137,59
21660,"Eugene-Springfield, OR",Midsized,.4666666686534882,-19.25806427001953,-44.09999847412109,-36.51612854003906,-29.86666679382324,-31.83870887756348,-29.3870964050293,-31.89999961853027,-26,-31.20000076293945,-33.58064651489258,-31.3870964050293,-29.28571510314941,-27.90322494506836,-25.4333324432373,-25.433332,2.47,113,63,8,6
21780,"Evansville, IN-KY",Midsized,1.255376160144806,-14.73713678121567,-39.39588618278503,-28.10121130943298,-21.06384932994843,-25.0122731924057,-20.26364123821259,-20.02283442020416,-17.53265368938446,-20.79739379882813,-24.96438574790955,-19.36678493022919,-21.72933542728424,-17.44277966022491,-17.31840181350708,-17.318401,.12,21,20,92,38
22180,"Fayetteville, NC",Large,-3.417197585105896,-15.39563894271851,-41.05662608146667,-31.46539545059204,-25.44939303398132,-29.48809218406677,-27.11830973625183,-26.75594353675842,-23.07285809516907,-25.69044494628906,-29.79007315635681,-27.53152322769165,-23.98961639404297,-21.61554205417633,-22.49622225761414,-22.496222,-.88,76,22,127,34
22220,"Fayetteville-Springdale-Rogers, AR",Large,1.490563619881868,-18.39894777536392,-42.27436178922653,-34.77998971939087,-31.97585034370422,-35.12051409482956,-30.11084777116776,-28.95936307311058,-25.29829865694046,-28.96686106920242,-32.52886641025543,-27.73523491621017,-31.64155566692352,-23.95451962947845,-22.16775608062744,-22.167755,1.79,72,19,18,6
22420,"Flint, MI",Midsized,-3.066666603088379,-21.25806427001953,-55.43333435058594,-41.32258224487305,-28.10000038146973,-28.90322494506836,-26,-26.20000076293945,-22.16129112243652,-28.60000038146973,-32.83871078491211,-27,-26.3214282989502,-25.35483932495117,-27.79999923706055,-27.799999,-2.45,141,72,179,77
22660,"Fort Collins, CO",Midsized,1.466666698455811,-20.83870887756348,-49.40000152587891,-37.35483932495117,-29.36666679382324,-32.06451797485352,-28.83870887756348,-30.73333358764648,-28.32258033752441,-30.53333282470703,-35.87096786499023,-29.45161247253418,-27.28571510314941,-32.06451797485352,-26.83333396911621,-26.833334,5.23,132,67,2,2
22900,"Fort Smith, AR-OK",Midsized,.5560773909091949,-12.72885245084763,-31.91924905776978,-25.04084253311157,-21.3619829416275,-25.12171995639801,-21.71538209915161,-20.00856763124466,-16.12379908561707,-20.59981107711792,-22.86795461177826,-18.73968857526779,-23.45340943336487,-16.74847340583801,-14.63336738944054,-14.633368,2.1199999,6,6,12,8
23060,"Fort Wayne, IN",Midsized,-.0164606124162674,-16.62131094932556,-44.0420663356781,-32.91973352432251,-23.83097147941589,-26.29072070121765,-21.7594131231308,-22.96357309818268,-19.60802006721497,-25.55320823192596,-29.40377974510193,-23.07578563690186,-22.16429901123047,-19.51961266994476,-24.50054955482483,-24.500549,-4.98,101,58,191,82
23420,"Fresno, CA",Large,-2.266666650772095,-17.32258033752441,-39.66666793823242,-32.22580718994141,-27.96666717529297,-33.09677505493164,-30.41935539245605,-30.16666603088379,-26.74193572998047,-29.76666641235352,-34.16128921508789,-32.29032135009766,-28.60714340209961,-27.45161247253418,-26.76666641235352,-26.766666,.68000001,129,43,67,21
23540,"Gainesville, FL",Midsized,-.51424081902951,-18.34308630228043,-42.62351143360138,-33.14284634590149,-27.78700590133667,-31.46298336982727,-28.26336944103241,-28.03768956661224,-23.46817415952682,-26.69210135936737,-27.62972617149353,-23.8509738445282,-21.23157906532288,-22.78685772418976,-21.53098577260971,-21.530985,1.26,63,49,33,16
24340,"Grand Rapids-Kentwood, MI",Very Large,1.9567666426301,-20.29353415966034,-52.82157921791077,-39.80885982513428,-27.03840792179108,-29.21227312088013,-24.71326088905334,-23.40532040596008,-18.91187193989754,-26.91115212440491,-31.33698868751526,-23.92532062530518,-21.28768622875214,-18.89372396469116,-23.98210477828979,-23.982105,-5.0900002,92,7,192,53
24540,"Greeley, CO",Midsized,1.866666674613953,-17.29032325744629,-42.59999847412109,-32.16128921508789,-26.29999923706055,-30.45161247253418,-25.93548393249512,-24.66666603088379,-21.74193572998047,-27.33333396911621,-30.83870887756348,-22.93548393249512,-20.4285717010498,-23.93548393249512,-18.5666675567627,-18.566668,5.3699999,33,29,1,1
24580,"Green Bay, WI",Midsized,2.511384427547455,-15.17909735441208,-41.12341594696045,-33.22533774375916,-23.3941525220871,-26.49919497966766,-22.25968784093857,-23.2924085855484,-22.01252800226212,-23.84807777404785,-24.77202796936035,-20.58332252502441,-19.82217985391617,-20.49317520856857,-19.93427091836929,-19.934271,.56,44,37,76,33
24660,"Greensboro-High Point, NC",Large,.2381346886977553,-14.16900897026062,-41.52567148208618,-33.4356095790863,-27.4712336063385,-31.15076446533203,-27.50876998901367,-27.03966283798218,-23.37954926490784,-26.1533100605011,-29.9045741558075,-27.43860411643982,-24.2180095911026,-21.4150053858757,-22.08179998397827,-22.0818,-.67000002,71,18,118,32
24860,"Greenville-Anderson, SC",Large,.9542641825973988,-13.28120559453964,-40.53633880615234,-31.40644419193268,-24.89450144767761,-28.94821810722351,-25.30663847923279,-26.78236699104309,-22.57037854194641,-25.09443688392639,-29.13311958312988,-25.03032946586609,-21.79694187641144,-21.25252842903137,-24.29266035556793,-24.29266,-3.04,98,34,183,53
25060,"Gulfport-Biloxi, MS",Midsized,-3.9484583735466,-16.96242380142212,-42.73462986946106,-30.91621452569962,-23.84255659580231,-26.93213844299316,-23.65823322534561,-23.80573332309723,-21.55601298809052,-21.48591220378876,-24.0462834239006,-20.33468216657639,-18.61939746141434,-15.66222912073135,-18.22171196341515,-18.221712,-2.5599999,31,28,182,79
25180,"Hagerstown-Martinsburg, MD-WV",Midsized,-.2896615145727992,-15.12121617794037,-40.33418035507202,-32.18434798717499,-25.22223496437073,-26.98869693279266,-24.11820256710052,-21.4718531370163,-16.84665966033936,-19.99983334541321,-25.34089231491089,-21.99224543571472,-22.46719431877136,-15.81036746501923,-17.08584713935852,-17.085848,-1.28,18,17,146,64
25420,"Harrisburg-Carlisle, PA",Large,.2839985191822052,-20.96981954574585,-48.85987830162048,-39.06624698638916,-30.59741544723511,-32.33394336700439,-28.94323754310608,-28.89383053779602,-24.59026384353638,-27.91227197647095,-34.72959351539612,-29.70313334465027,-30.03564667701721,-26.51688027381897,-27.79686284065247,-27.796864,-1.28,140,47,146,38
25540,"Hartford-East Hartford-Middletown, CT",Very Large,-.8651051037013531,-19.62113428115845,-48.07636117935181,-39.49502086639404,-31.68709945678711,-33.25530290603638,-31.52879762649536,-29.0011670589447,-24.29759764671326,-28.53636837005615,-34.0015983581543,-29.36290383338928,-29.78215098381042,-25.25964522361755,-27.3565878868103,-27.356588,-2.0999999,135,22,171,50
25860,"Hickory-Lenoir-Morganton, NC",Midsized,.3193524070084095,-10.04277145862579,-36.63831734657288,-26.17930197715759,-20.24198162555695,-24.66088533401489,-19.91763591766357,-19.37847590446472,-16.08385384082794,-19.40600335597992,-23.85738849639893,-19.53216910362244,-15.33383762836456,-15.0912743806839,-17.17917037010193,-17.179171,-2.0899999,19,18,170,72
26420,"Houston-The Woodlands-Sugar Land, TX",Very Large,.5169088570401073,-20.77905971556902,-45.36468242108822,-34.52199853956699,-31.2930356785655,-37.08724890649319,-33.34326395392418,-32.33392560482025,-26.7168158069253,-29.56128768622875,-32.26416953653097,-28.52599260210991,-33.54978980123997,-26.12258499860764,-25.51217912882566,-25.512178,.61000001,116,13,74,20
26580,"Huntington-Ashland, WV-KY-OH",Midsized,1.197449535131454,-13.67806828022003,-39.00407838821411,-28.95393455028534,-21.85434341430664,-25.37146699428558,-22.64643752574921,-20.48103356361389,-17.67077660560608,-22.16941320896149,-25.33524751663208,-21.76285743713379,-27.06979250907898,-17.297523021698,-17.68466687202454,-17.684668,-.38999999,26,24,110,47
26620,"Huntsville, AL",Midsized,.8932505249977112,-17.17242193222046,-46.24266624450684,-33.64379549026489,-27.35905838012695,-32.25686550140381,-27.79507493972778,-27.70301866531372,-24.87806677818298,-26.83502244949341,-31.71007871627808,-26.79892063140869,-27.20535898208618,-23.27962636947632,-22.9020688533783,-22.902069,.38,81,55,84,36
26900,"Indianapolis-Carmel-Anderson, IN",Very Large,.59527687728405,-20.12434376776218,-47.25859174132347,-37.10140761733055,-29.26620231568813,-31.40986903011799,-27.47539316862822,-27.60637106746435,-25.62813037633896,-28.77511778473854,-32.37605135142803,-27.83721153438091,-27.07730519771576,-25.90558090806007,-26.45175403356552,-26.451754,-.55000001,124,18,115,36
27140,"Jackson, MS",Large,-.3224496133625507,-16.38025453686714,-38.0202704668045,-29.01008230447769,-23.75406050682068,-28.43687725067139,-25.46809411048889,-23.67301744222641,-20.20996648073196,-24.99923795461655,-27.97624331712723,-24.1908905506134,-31.61425799131393,-22.82620185613632,-23.30191045999527,-23.30191,-.47999999,87,27,112,31
27260,"Jacksonville, FL",Very Large,-.7348280418664217,-17.72584339976311,-43.51247590780258,-33.63743540644646,-28.62894910573959,-32.88487893342972,-29.53828185796738,-28.30831295251846,-23.81808552145958,-27.26791331171989,-29.1584290266037,-25.97712236642838,-23.05724823474884,-24.0950973033905,-23.24062898755074,-23.240629,.85000002,85,5,54,13
28020,"Kalamazoo-Portage, MI",Midsized,1.866666674613953,-20.3870964050293,-50.29999923706055,-40,-30.33333396911621,-32.35483932495117,-27.80645179748535,-28.10000038146973,-23.22580718994141,-28.79999923706055,-33.19355010986328,-26.45161247253418,-23.8214282989502,-23.29032325744629,-25.46666717529297,-25.466667,-2.1800001,115,64,174,74
28140,"Kansas City, MO-KS",Very Large,4.681208161637187,-17.12476982921362,-46.29011812806129,-35.62650950998068,-28.02886066585779,-31.38046119362116,-27.77509120106697,-27.57066394388676,-23.78090834990144,-27.81596314907074,-30.87431688606739,-26.6116226837039,-26.81084614992142,-23.80896887183189,-23.06045491248369,-23.060455,.75,83,4,62,15
28420,"Kennewick-Richland, WA",Midsized,-1.687889397144318,-19.32357501983643,-45.88268756866455,-36.51388072967529,-32.25858020782471,-35.09956073760986,-31.68832302093506,-32.71606922149658,-27.30383396148682,-31.56252098083496,-34.75411033630371,-30.75422382354736,-30.54931926727295,-26.43756198883057,-27.43392086029053,-27.433922,-1,137,69,134,58
