cbsa_code,cbsatitle,topmetro,metrosize,price1_2019,price2_2019,price3_2019,price4_2019,price5_2019,price6_2019,price7_2019,price8_2019,price9_2019,price1_2020,price2_2020,price3_2020,price4_2020,price5_2020,price6_2020,price7_2020,price8_2020,price9_2020,price10_2020,chg_imp,chg_traj,rank_imp,rank_traj,szrank_imp,szrank_traj
10420,"Akron, OH",1,Large,150450,155340,162407.14,169300,175000,179950,178000,171992.86,168542.86,147950,149950,161450,169500,179550,192450,192545,189950,179950,179950,7.7199998,0,112,72,38,22
10580,"Albany-Schenectady-Troy, NY",1,Large,297050,304950,306306.44,307888.94,299950,299050,299450,289621.44,289050,299950,304950,316700,319500,324950,336950,341100,339950,331800,333550,15.04,.52999997,38,56,17,16
10740,"Albuquerque, NM",1,Large,249750,255487.5,265907.16,273907.16,275050,275050,274999.5,272906.56,270407.06,282040,290650,292750,290000,305460,324402.5,320000,325050,322427.5,315050,16.23,-2.29,30,146,15,43
10900,"Allentown-Bethlehem-Easton, PA-NJ",1,Large,219300,225050,222478.58,219928.58,222500,225049,229500,225050,225050,242550,249950,262450,262550,264950,269500,278500,279950,282340,274950,22.23,-2.6199999,7,153,4,46
11100,"Amarillo, TX",1,Midsized,228950,232895,238207.14,243300,247800,242900,237738.5,237864.28,237064.28,227608,239850,260357,267892,279050,279750,278300,270050,275525,275050,16.77,-.17,27,89,11,37
11260,"Anchorage, AK ",1,Midsized,307720,309300,317150,322500,326050,322050,322450,317335.72,315050,319300,319950,319997.5,319550,329950,332550,338050,335050,335850,325050,1.74,-3.22,176,163,72,69
11460,"Ann Arbor, MI ",1,Midsized,393550,398050,399050,399550,400050,407050,399000,380992.84,370542.84,364300,375050,394000,395050,389050,391950,396550,393690,397370,408040,10.42,2.6900001,72,12,26,6
11700,"Asheville, NC",1,Midsized,379500,377500,384150,394500,399050,399050,399050,399564.28,399364.28,400000,415050,402450,399050,415050,419500,422550,429050,432550,439050,9.9499998,1.5,82,29,30,15
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1,Very Large,312726,317300,324235.72,330000,336242,333050,329000,324529,321307.5,320000,324950,328840,325050,334386,346250,350050,354050,354500,355050,10.58,.16,69,64,18,19
12100,"Atlantic City-Hammonton, NJ",1,Midsized,246300,247550,256331.42,268545,269050,260040,260000,255664.28,249750,252500,250050,256000,254950,253540,250050,255000,252050,257050,255050,2.04,-.77999997,174,105,70,46
12260,"Augusta-Richmond County, GA-SC",1,Large,214249.5,212022.5,219235.72,226000,229300,229950,234500,233292.86,234950,230048.5,230550,234500,237500,239950,242500,243959,249950,252240,250656,7.5599999,-.63,114,99,39,29
12420,"Austin-Round Rock-Georgetown, TX",1,Very Large,347900,350000,359157.16,370675,372877.5,369410,365050,361192.84,355550,353342.5,360050,372000,365969.5,377040,390045,392273,399950,408045,413177,15.9,1.26,31,32,5,8
12540,"Bakersfield, CA",1,Large,245050,246300,253092.86,259995,262050,262950,266025,262864.28,259975,261045,265050,275000,273550,275050,279275,289950,299050,309050,305030,17.34,-1.3,24,123,14,36
12580,"Baltimore-Columbia-Towson, MD",1,Very Large,299950,299975,312878.56,330000,340000,342550,339550,332778.56,329400,315050,320050,328495,328350,340050,349996,354950,349950,339996,339950,4.5799999,-.0099999998,154,83,43,25
12940,"Baton Rouge, LA",1,Large,239950,239950,242278.58,247050,249950,250050,248682.5,246721.42,244500,239950,245050,249750,248800,255050,263300,265050,269950,278150,275634,12.83,-.89999998,54,113,21,32
13140,"Beaumont-Port Arthur, TX ",1,Midsized,180000,184550,189478.58,190000,196800,199050,199050,195007.14,196457.14,195050,190050,195300,199950,200050,209950,212000,215050,219950,219050,10.05,-.41,79,98,29,40
13820,"Birmingham-Hoover, AL",1,Very Large,225050,234800,244007.14,249950,256950,258050,259950,256977.86,253510.36,252500,256410,259950,260773.5,268550,274950,275000,272163,271050,259950,1.73,-4.0999999,177,175,52,50
14260,"Boise City, ID",1,Large,339950,340040,347299.56,358464.5,369950,373623,374950,370692.84,367300,374995,379950,384574.5,387450,390040,397000,400400,400050,408332.5,425050,18.059999,4.0900002,19,4,10,2
14460,"Boston-Cambridge-Newton, MA-NH",1,Very Large,534500,549500,571435.69,599950,604500,600049,599950,591421.44,581471.44,590000,600050,630049.5,617500,630050,657499.5,675050,678450,677050,669050,13.88,-1.1799999,46,120,11,34
